Year,Regional code,Country,Number of issued,Number of issued_numerical,Travel certificate,Diplomacy,Public use,Passing,Short -term stay,Staying in medical care,Advanced profession,Employment,Employment_Professor,Employment_Art,Employment_religion,Employment_Report,Employment_Management / Management,Employment_Law accounting,Employment_Medical care,Employment_Research,Employment_Education,Employment_Technology,Employment_Humanities International,Employment_C corporate rotation,Employment_show,Employment_Skills,Ordinary,General_Cultural activity,General_Studying abroad,General_Arademy,General_Training,General_Family stay,General_Stifying 1 I,General_Steng 1,identification,Specific_housework employee,Specific_profit representative staff,Specific_working holiday,Specified_Amasport,"Specific_Japanese spouse, etc.","Specific_Permanent resident's spouse, etc.",Specified_Distingant,Specific_Others
2017,680,Bolivia,905,35,1.0,6.0,8.0,2,571,0.0,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11,0.0,55,1.0,10.0,0.0,40,4.0,0.0,0.0,248,0.0,0.0,0.0,0.0,49,12.0,187,0.0
2017,700,Bosnia Herzegovna,233,5,0.0,2.0,2.0,0,211,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,3.0,12,0.0,1.0,0.0,10,1.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,1.0
2017,720,Botwana,179,12,0.0,9.0,16.0,0,90,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,62,0.0,8.0,0.0,54,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,760,Brazil,50885,2635,2.0,5.0,53.0,152,35972,0.0,2.0,829,16.0,17.0,61.0,0.0,5.0,0.0,0.0,2.0,13.0,0.0,0.0,57.0,516,9.0,889,35.0,279.0,0.0,326,236.0,13.0,0.0,12983,0.0,0.0,1.0,0.0,2256,136.0,10584,7.0
2017,840,Belize,62,3,0.0,0.0,2.0,2,41,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17,0.0,0.0,0.0,17,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,900,Solomon,220,26,0.0,6.0,23.0,6,129,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,56,0.0,7.0,0.0,49,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,960,Brunei,180,9,0.0,12.0,2.0,0,104,0.0,0.0,7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,55,1.0,54.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,1000,Bulgaria,162,14,0.0,0.0,1.0,0,0,0.0,0.0,96,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,49,5.0,58,6.0,42.0,0.0,2,8.0,0.0,0.0,7,0.0,0.0,0.0,0.0,4,1.0,0,2.0
2017,1040,Myanmar,17728,557,29.0,115.0,225.0,116,9877,0.0,0.0,656,13.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,50.0,47,12.0,6646,26.0,2292.0,0.0,944,109.0,34.0,3241.0,93,1.0,0.0,0.0,0.0,24,8.0,51,9.0
2017,1080,Brush,43,2,0.0,1.0,4.0,0,12,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,26,0.0,2.0,0.0,24,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,1120,Belarus,1350,33,0.0,20.0,8.0,3,1196,0.0,0.0,101,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90,0.0,17,2.0,12.0,0.0,1,2.0,0.0,0.0,5,0.0,0.0,0.0,0.0,2,0.0,3,0.0
2017,1160,Cambodia,15578,447,0.0,3.0,115.0,30,11295,0.0,0.0,64,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,12,0.0,4007,6.0,527.0,0.0,358,19.0,34.0,3063.0,64,2.0,0.0,0.0,0.0,23,14.0,20,5.0
2017,1200,Cameroon,583,26,0.0,8.0,68.0,2,353,0.0,0.0,12,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,3,0.0,139,0.0,66.0,0.0,55,18.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,1.0,0,0.0
2017,1240,Canada,2550,761,0.0,51.0,12.0,0,8,0.0,9.0,1199,76.0,1.0,16.0,0.0,17.0,0.0,0.0,4.0,249.0,0.0,0.0,25.0,467,28.0,617,42.0,401.0,0.0,14,160.0,0.0,0.0,654,0.0,0.0,493.0,0.0,86,1.0,3,71.0
2017,1320,Carbo verde,3,0,5.0,0.0,0.0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,1400,Central Africa,3,0,5.0,0.0,0.0,0,3,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,1440,Sri Lanka,19642,247,0.0,95.0,294.0,32,13934,0.0,0.0,598,2.0,0.0,4.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,5,39.0,4598,11.0,3706.0,0.0,292,404.0,21.0,164.0,91,1.0,0.0,0.0,0.0,30,28.0,27,5.0
2017,1480,Chad,31,1,0.0,0.0,2.0,0,11,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,18,0.0,3.0,0.0,15,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,1520,Chile,221,6,0.0,5.0,1.0,0,46,0.0,0.0,35,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,18,6.0,124,2.0,35.0,0.0,79,8.0,0.0,0.0,10,0.0,0.0,0.0,0.0,6,0.0,3,1.0
2017,1560,China,4504718,586281,43.0,833.0,4417.0,1645,4390393,1198.0,155.0,12543,417.0,4.0,5.0,42.0,951.0,2.0,20.0,74.0,14.0,0.0,0.0,2767.0,1232,816.0,85495,906.0,41352.0,0.0,683,8625.0,1760.0,32169.0,8039,9.0,0.0,0.0,3.0,2219,1126.0,1899,2783.0
2017,1580,Taiwan,15287,684,0.0,0.0,3.0,0,1374,0.0,23.0,2283,79.0,0.0,5.0,3.0,67.0,1.0,3.0,14.0,10.0,0.0,0.0,278.0,343,17.0,5970,119.0,5467.0,0.0,48,306.0,30.0,0.0,5634,0.0,49.0,4158.0,0.0,211,9.0,18,1189.0
2017,1700,Columbia,7454,979,0.0,4.0,17.0,218,6934,0.0,0.0,47,6.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,29,0.0,194,13.0,74.0,0.0,87,20.0,0.0,0.0,40,0.0,0.0,0.0,0.0,22,5.0,11,2.0
2017,1740,Komoro,65,4,2.0,3.0,2.0,0,52,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7,0.0,0.0,0.0,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,1780,Congo,69,15,0.0,9.0,9.0,0,35,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13,0.0,1.0,0.0,2,10.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0,0.0,0,3.0
2017,1800,Congo Democratic Republic,389,33,0.0,4.0,53.0,1,209,0.0,0.0,6,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,116,0.0,22.0,0.0,84,10.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,1880,Costa Rica,72,3,0.0,3.0,1.0,0,0,0.0,0.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,58,0.0,18.0,0.0,38,2.0,0.0,0.0,6,0.0,0.0,0.0,0.0,6,0.0,0,0.0
2017,1910,Croatia,75,0,0.0,0.0,0.0,0,0,0.0,0.0,53,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,36,4.0,21,1.0,14.0,0.0,0,6.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,0.0
2017,1920,Cuba,497,49,1.0,26.0,11.0,17,335,0.0,0.0,38,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29,2.0,64,0.0,7.0,0.0,48,9.0,0.0,0.0,6,0.0,0.0,0.0,0.0,5,0.0,0,1.0
2017,1960,Cyprus,13,1,0.0,0.0,1.0,0,0,0.0,0.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7,1.0,5.0,0.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,2030,Czech Republic,631,3,0.0,0.0,3.0,0,0,0.0,1.0,537,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,470,30.0,86,8.0,65.0,0.0,1,12.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.0,0,0.0
2017,2040,Benan,140,11,0.0,14.0,13.0,0,63,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,48,0.0,10.0,0.0,36,2.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,0.0
2017,2080,Denmark,581,5,0.0,3.0,2.0,0,2,0.0,2.0,210,11.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,167,2.0,169,18.0,138.0,0.0,0,13.0,0.0,0.0,193,0.0,0.0,187.0,0.0,4,0.0,0,2.0
2017,2120,Dominica,36,3,0.0,1.0,0.0,0,28,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7,0.0,0.0,0.0,7,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,2140,dominican republic,104,1,0.0,1.0,0.0,0,0,0.0,0.0,41,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,10.0,54,0.0,7.0,0.0,44,3.0,0.0,0.0,8,0.0,0.0,0.0,0.0,3,2.0,3,0.0
2017,2180,Ecuador,1720,286,0.0,21.0,15.0,90,1462,0.0,0.0,16,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,2.0,112,2.0,20.0,0.0,80,10.0,0.0,0.0,4,0.0,0.0,0.0,0.0,4,0.0,0,0.0
2017,2220,El Salvador,77,0,0.0,0.0,0.0,0,2,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,0.0,72,0.0,9.0,0.0,63,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,0,1.0
2017,2260,Equatorial guinea,10,2,1.0,0.0,2.0,0,4,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,0.0,3.0,0.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,2310,Ethiopia,712,35,1.0,28.0,46.0,1,449,0.0,0.0,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,167,1.0,37.0,0.0,116,13.0,0.0,0.0,15,4.0,0.0,0.0,0.0,2,0.0,5,4.0
2017,2320,Eritria,58,4,0.0,1.0,5.0,0,37,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0.0,4.0,0.0,5,5.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0,0.0,1,0.0
2017,2330,Estonia,82,1,0.0,1.0,0.0,0,2,0.0,0.0,59,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,48,7.0,17,0.0,14.0,0.0,0,3.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0,0.0
2017,2390,Georgia,609,11,0.0,0.0,35.0,1,466,0.0,0.0,61,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59,0.0,46,0.0,10.0,0.0,36,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,2420,Fiji,888,32,0.0,9.0,54.0,5,674,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1.0,133,0.0,24.0,0.0,93,16.0,0.0,0.0,10,0.0,0.0,0.0,2.0,4,0.0,0,4.0
2017,2460,Finland,792,6,0.0,6.0,0.0,0,0,0.0,0.0,468,14.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,395,11.0,300,11.0,266.0,0.0,0,23.0,0.0,0.0,18,0.0,0.0,0.0,0.0,14,0.0,0,4.0
2017,2500,France,5623,119,0.0,16.0,49.0,0,13,0.0,26.0,2024,147.0,24.0,1.0,1.0,45.0,0.0,0.0,24.0,10.0,0.0,0.0,137.0,1264,20.0,2009,222.0,1413.0,0.0,2,370.0,2.0,0.0,1486,0.0,0.0,1269.0,0.0,101,3.0,2,111.0
2017,2620,Jibuti,70,9,1.0,7.0,7.0,0,24,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,30,0.0,3.0,0.0,27,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,0.0
2017,2660,Gabon,81,7,0.0,9.0,0.0,0,42,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,29,0.0,3.0,0.0,26,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,2700,Gambia,60,3,1.0,2.0,1.0,1,40,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,16,0.0,6.0,0.0,8,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,2750,Palestine,245,4,6.0,0.0,4.0,0,194,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,47,0.0,7.0,0.0,39,1.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,2760,Germany,4996,1662,0.0,1.0,5.0,0,0,0.0,7.0,2526,124.0,12.0,7.0,0.0,28.0,0.0,0.0,18.0,10.0,0.0,0.0,139.0,1999,17.0,1626,239.0,1178.0,0.0,7,202.0,0.0,0.0,831,0.0,0.0,694.0,0.0,36,0.0,1,100.0
2017,2880,Ghana,1133,29,0.0,10.0,44.0,4,797,0.0,0.0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22,3.0,208,1.0,56.0,0.0,134,17.0,0.0,0.0,37,5.0,0.0,0.0,0.0,4,10.0,18,0.0
2017,2960,Kiribass,78,24,0.0,7.0,17.0,1,32,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,21,0.0,5.0,0.0,16,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,3000,Greece,93,1,0.0,0.0,1.0,0,0,0.0,1.0,60,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,31,0.0,28,7.0,17.0,0.0,1,3.0,0.0,0.0,3,0.0,0.0,0.0,0.0,3,0.0,0,0.0
2017,3080,Grenada,29,0,0.0,0.0,0.0,0,21,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8,0.0,0.0,0.0,8,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,3200,Guatemala,67,0,0.0,0.0,1.0,0,1,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,61,0.0,10.0,0.0,51,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,0.0,0,0.0
2017,3240,Guinea,244,24,1.0,20.0,28.0,0,148,0.0,0.0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,38,0.0,10.0,0.0,26,2.0,0.0,0.0,8,0.0,0.0,0.0,0.0,3,5.0,0,0.0
2017,3280,Gaiana,54,1,0.0,1.0,0.0,0,38,0.0,0.0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,13,0.0,2.0,0.0,11,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,3320,Haiti,136,9,0.0,1.0,8.0,5,90,0.0,0.0,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,28,0.0,5.0,0.0,23,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,2,0.0,0,0.0
2017,3400,Honduras,42,0,0.0,0.0,0.0,0,0,0.0,0.0,9,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7.0,32,1.0,4.0,0.0,27,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,0.0
2017,3440,China (Hong Kong),4,1,0.0,0.0,0.0,0,0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,2,0.0,2.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,3441,Hong Kong DI,8016,15,0.0,0.0,0.0,1,7985,5.0,0.0,4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17,0.0,11.0,0.0,1,5.0,0.0,0.0,4,0.0,0.0,0.0,0.0,3,0.0,0,1.0
2017,3442,Hong Kong SAR,2341,1152,0.0,0.0,1.0,0,22,1.0,6.0,417,7.0,0.0,6.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0,0.0,37.0,186,5.0,1108,18.0,1006.0,0.0,16,68.0,0.0,0.0,786,0.0,0.0,690.0,1.0,39,2.0,9,45.0
2017,3480,Hungary,591,1,0.0,0.0,2.0,0,0,0.0,0.0,452,26.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,392,6.0,105,4.0,81.0,0.0,4,16.0,0.0,0.0,32,0.0,0.0,23.0,0.0,6,0.0,0,3.0
2017,3520,Iceland,53,19,0.0,0.0,0.0,0,0,0.0,0.0,33,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31,1.0,19,0.0,19.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,1,0.0,0,0.0
2017,3560,India,96658,18707,0.0,5.0,449.0,592,88018,10.0,16.0,3669,147.0,1.0,8.0,0.0,28.0,0.0,0.0,47.0,6.0,0.0,0.0,712.0,70,494.0,3758,93.0,753.0,0.0,843,1987.0,82.0,0.0,141,4.0,0.0,0.0,0.0,33,27.0,32,45.0
2017,3600,Indonesia,239201,9938,3.0,41.0,198.0,716,220930,7.0,1.0,1150,50.0,0.0,8.0,0.0,2.0,0.0,20.0,6.0,0.0,0.0,0.0,288.0,293,35.0,14747,51.0,2836.0,0.0,1266,714.0,915.0,8965.0,1411,12.0,0.0,0.0,0.0,164,17.0,152,1066.0
2017,3640,Iran,5652,63,2.0,15.0,9.0,5,5213,3.0,0.0,65,16.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,23,4.0,311,26.0,66.0,0.0,162,57.0,0.0,0.0,31,0.0,0.0,0.0,0.0,10,10.0,8,3.0
2017,3680,Iraq,1141,15,0.0,13.0,40.0,1,880,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,203,2.0,7.0,0.0,189,5.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0
2017,3720,Ireland,434,93,0.0,0.0,0.0,0,1,0.0,0.0,287,23.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,50.0,0.0,0.0,11.0,140,7.0,65,3.0,48.0,0.0,1,13.0,0.0,0.0,81,0.0,0.0,65.0,0.0,13,0.0,1,2.0
2017,3760,Israel,204,13,0.0,13.0,0.0,0,2,0.0,2.0,129,19.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,91,1.0,55,3.0,41.0,0.0,0,11.0,0.0,0.0,3,0.0,0.0,0.0,0.0,2,0.0,0,1.0
